"id_training_data";"term";"training_class"
"195";"tol bocimi hadir kembang industri bogor-sukabumi tingkat";"Opportunity"
"196";"tol sukabumi jadi alternatif wisata warga jakarta";"Opportunity"
"197";"lewat tol ciawi-cigombong menit";"Opportunity"
"199";"sri mulyani teknologi buka akses usaha perempuan";"Opportunity"
"208";"as-china sepakat gencat perang dagang";"Opportunity"
"209";"wall street naik tajam imbas gencat perang dagang";"Opportunity"
"214";"sektor pariwisata target sumbang devisa usd miliar";"Opportunity"
"220";"rupiah kuat rp faktor dukung";"Opportunity"
"226";"gencat perang dagang as-china bawa dampak positif ekonomi indonesia";"Opportunity"
"243";"ihsg naik pekan pertama desember";"Opportunity"
"244";"cadang devisa tingkat sri mulyani terus antisipasi dinamika global";"Opportunity"
"248";"lpei gali peluang kerjasama ekonomi indonesia-afrika";"Opportunity"
"250";"komentar presiden jokowi soal kuat rupiah";"Opportunity"
"507";"jokowi tahun depan bandara sukabumi mulai bangun";"Opportunity"
"508";"geser apple microsoft jadi usaha paling nila dunia";"Opportunity"
"509";"jual sepeda motor operasional usaha jateng tingkat";"Opportunity"
"519";"survei laku bisnis harap bangun infrastruktur lokal realisasi";"Opportunity"
"520";"reuni tumpang krl lonjak";"Opportunity"
"524";"reuni aksi pola operasi berangkat ka rekayasa";"Opportunity"
"536";"rupiah terus perkasa";"Opportunity"
"537";"temu imf-bank dunia jumlah wisman oktober justru turun";"Opportunity"
"538";"pt kai terjun personel aman angkut natal tahun baru";"Opportunity"
"542";"sentimen eksternal topang kuat rupiah hari";"Opportunity"
"549";"bayar e-commerce naik transaksi kartu kredit tumbuh persen";"Opportunity"
"550";"kredivo sesuai produk pinjam butuh millenial";"Opportunity"
"551";"bank commonwealth luncur kartu debit platinum world";"Opportunity"
"552";"ini jadi daya tarik orang indonesia belanja online";"Opportunity"
"555";"lewat pinjam tunai kredivo bidik millenial";"Opportunity"
"560";"bank mandiri kejar persen dari transaksi harbolnas";"Opportunity"
"561";"kurang tahun dana izin bi";"Opportunity"
"562";"harbolnas gelar hari satu hari khusus produk lokal";"Opportunity"
"568";"harbolnas target raih jumlah transaksi rp triliun";"Opportunity"
"573";"kolaborasi universitas industri kembang sektor uang";"Opportunity"
"574";"mendag tetap daerah tepat ukur daftar";"Opportunity"
"576";"genjot tumbuh ekonomi jakarta bidik ekonomi kreatif pariwisata";"Opportunity"
"577";"bi november optimisme konsumen tingkat";"Opportunity"
"582";"amartha salur rp miliar biaya usaha";"Opportunity"
"587";"mudah transaksi amartha optimal proses tanda tangan digital";"Opportunity"
"588";"bisnis tetap tumbuh tahun politik bidik millenial";"Opportunity"
"602";"pasarpolis hadir asuransi mikro skema unik klaim mudah";"Opportunity"
"607";"milenial jadi investor dominan tawar st-";"Opportunity"
"836";"data dagang pasar saham positif";"Opportunity"
"842";"rupiah angkat kerja sama pemerintah-bi-swasta";"Opportunity"
"847";"tips belanja online buat generasi milenial";"Opportunity"
"849";"danamart siap layan ukm umkm";"Opportunity"
"852";"selesai tol bocimi kabar baik logistik nasional";"Opportunity"
"856";"laku usaha libat bahas regulasi";"Opportunity"
"871";"bekraf dorong startup lantai bursa";"Opportunity"
"872";"rupiah makin kokoh";"Opportunity"
"875";"ojk tumbuh kredit tembus akhir";"Opportunity"
"881";"bi optimistis relaksasi gwm genjot salur kredit";"Opportunity"
"883";"kunjung wisman indonesia oktober capai juta";"Opportunity"
"894";"sasar milenial kredivo luncur pinjam tunai";"Opportunity"
"895";"ekonomi batam target tumbuh";"Opportunity"
"898";"kredivo timbang ekspansi asean";"Opportunity"
"899";"investasi rp triliun lahan tak pakai batam";"Opportunity"
"906";"rupiah ke level rp usd";"Opportunity"
"909";"ojk banyak masyarakat tak paham substansi koperasi";"Opportunity"
"917";"luhut hadap revolusi industri mindset ubah";"Opportunity"
"921";"pemprov peluang milik hak kelola lebih blok rok";"Opportunity"
"924";"genjot ekspor pangsa pasar jelas";"Opportunity"
"925";"tumbuh ekonomi capai target";"Opportunity"
"928";"tips aman belanja harbolnas";"Opportunity"
"929";"indonesia fokus peluang janji dagang";"Opportunity"
"939";"rupiah ke level rp usd";"Opportunity"
"940";"transaksi harbolnas target hingga rp triliun";"Opportunity"
"945";"dampak positif ketidakpastian ekonomi as";"Opportunity"
"948";"produk lokal siap banjir harbolnas";"Opportunity"
"951";"bank mandiri ambil momentum harbolnas";"Opportunity"
"955";"maju ritel tradisional cara digital";"Opportunity"
"964";"optimisme konsumen tingkat";"Opportunity"
"966";"bank danamon prediksi tumbuh ekonomi";"Opportunity"
"969";"laku industri optimistis lihat peluang tahun politik";"Opportunity"
"974";"ajar potensi kerja sama ekonomi afsel-indonesia";"Opportunity"
"975";"industri manufaktur siap jadi sumber utama tumbuh ekonomi";"Opportunity"
"993";"terima negara picu naik peringkat indonesia";"Opportunity"
"994";"kolaborasi perban startup";"Opportunity"
"995";"ekonomi indonesia on the track";"Opportunity"
"1002";"sdm jadi kunci transformasi ekonomi indonesia";"Opportunity"
"1003";"darmin optimistis rupiah tetap kuat hingga akhir tahun";"Opportunity"
"1006";"bei stigma minat investor turun tahun milu salah";"Opportunity"
"1011";"perintah optimistis salur kur tembus rp triliun";"Opportunity"
"1012";"usaha ukm ajak lepas saham pasar modal";"Opportunity"
"1028";"allianz latih tani saing era digital";"Opportunity"
"1030";"dolar as hilang tenaga";"Opportunity"
"1032";"menkeu sentimen positif dorong naik cadang devisa";"Opportunity"
"1192";"menteri esdm swat kolaborasi gelar energi expo";"Opportunity"
"1197";"luhut samsung tarik bangun pabrik indonesia";"Opportunity"
"1230";"genjot ekonomi kalteng pln operasi gardu induk pangkal bun";"Opportunity"
"1232";"cloud computing cipta akses sama hadap teknologi";"Opportunity"
"1241";"ekonom perintah geser revolusi sdm inovasi teknologi";"Opportunity"
"1242";"menteri pupr bangun jembatan pulih lalu lintas padang-bukittinggi";"Opportunity"
"200";"sumber daya limpah tan jamin indonesia tak kurang pangan";"Threat"
"202";"sri mulyani bawa hasil temu g";"Threat"
"205";"kasir warung kopi cucu bos chaoroen kini punya startup dapat juta dolar as";"Threat"
"210";"sama presiden jokowi hadir ceo networking hary tanoesoedibjo pasar modal perlu bangun imbang perban pasar uang";"Threat"
"211";"menristekdikti revolusi industri peluang indonesia kreasi inovasi";"Threat"
"216";"jelang akhir tahun naik harga pangan nilai wajar";"Threat"
"218";"wall street lesu akibat khawatir lambat ekonomi as";"Threat"
"225";"tumbuh ekonomi asean prediksi lambat";"Threat"
"229";"sri mulyani satu dekade akhir rp triliun anggar tak serap tiap tahun";"Threat"
"233";"wall street anjlok usai tangkap putri diri huawei";"Threat"
"234";"usaha pabrikan iphone masuk indonesia menko luhut jamin soal izin";"Threat"
"237";"defisit apbn rendah sejak capai rp triliun";"Threat"
"239";"kata sri mulyani soal utang bumn tembus rp triliun";"Threat"
"241";"wall street buka lesu usai rilis data tenaga kerja";"Threat"
"246";"rupiah sempat lemah bi pengaruh khawatir pasar";"Threat"
"501";"waskita karya talang anggar bebas lahan tol bocimi";"Threat"
"505";"cara panasonic dukung industri kreatif";"Threat"
"512";"wto ingat potensi risiko krisis dagang global";"Threat"
"516";"sri mulyani kompak negara g uap";"Threat"
"517";"harga alumina lonjak inalum tetap utama langgan";"Threat"
"526";"perang dagang china-as tuju ada tarif tambah januari";"Threat"
"534";"utang capai rp triliun begini kata pln";"Threat"
"535";"lebih usaha tak lapor putus merger akuisisi kppu";"Threat"
"539";"rupiah fluktuatif usaha makan minum bingung";"Threat"
"540";"kppu banyak usaha indonesia tak lapor aktivitas merger akuisisi";"Threat"
"541";"gratis ongkir jadi magnet belanja online";"Threat"
"543";"peluang sukses startup persen apa";"Threat"
"544";"arus modal masuk kira sampai tengah desember";"Threat"
"545";"marak koperasi bodong bikin asosiasi gerah";"Threat"
"546";"sambut harbolnas tokopedia diskon mobil yaris hingga persen";"Threat"
"547";"pinjam tunai kredivo lebih banyak untuk didik";"Threat"
"554";"harbolnas lazada tawar barang mulai harga rp";"Threat"
"557";"per september utang bumn capai rp triliun";"Threat"
"567";"bangun sdm jadi prioritas jokowi langkah anggar";"Threat"
"579";"kerja industri prediksi paling tinggi naik gaji";"Threat"
"597";"jangan lena kuat rupiah";"Threat"
"598";"menko darmin sakit pasar suka reaksi lebih";"Threat"
"600";"sentimen global jadi faktor utama lemah rupiah";"Threat"
"833";"indonesia yakin akan kurang pangan";"Threat"
"837";"dolar as hempas poundsterling euro";"Threat"
"843";"pasar saham amerika serikat mere";"Threat"
"855";"perang dagang as-tiongkok bayang bicara g";"Threat"
"861";"angin segar tunda tarif baru amerika-tiongkok";"Threat"
"864";"mandiri capital bidik startup investasi tahun depan";"Threat"
"870";"gejolak suku bunga buat proyeksi tumbuh kredit sendat";"Threat"
"873";"menkeu siap revisi atur pajak ipo";"Threat"
"880";"menkeu kan tantang usai temu g";"Threat"
"887";"november harga grosir nonmigas naik persen";"Threat"
"888";"sektor transpor komunikasi sumbang inflasi besar";"Threat"
"891";"tips aman utang";"Threat"
"900";"ojk temu puluh fintech ilegal";"Threat"
"935";"gencat senjata bukan akhir perang dagang";"Threat"
"938";"beri diskon abal-abal harbolnas bakal kena sanksi";"Threat"
"961";"rupiah sentuh rp usd";"Threat"
"963";"fundamental lemah rupiah sentuh rp usd";"Threat"
"965";"november defisit apbn capai";"Threat"
"967";"perintah tak cemas imbas naik harga bbm";"Threat"
"978";"tiga sumbang besar tumbuh ekonomi dki jakarta";"Threat"
"980";"ekonomi dunia ibarat es krim leleh";"Threat"
"981";"lemah rupiah sementara";"Threat"
"982";"menang pilpres hadap tantang ekonomi sama";"Threat"
"983";"bi sentimen brexit hambat kuat rupiah";"Threat"
"988";"imbang tumbuh ekonomi";"Threat"
"996";"bi waspada gejolak harga natal tahun baru";"Threat"
"997";"bi catat pekan pertama desember inflasi";"Threat"
"998";"rupiah tekan ihsg mere";"Threat"
"1001";"bi kan alas lemah rupiah";"Threat"
"1029";"hubung as-tiongkok sulit prediksi";"Threat"
"1031";"harga minyak dunia lesat";"Threat"
"1204";"wapres kerja migran milik terampil";"Threat"
"1206";"bpkn panjang tahun kasus adu konsumen banyak sektor properti";"Threat"
"1211";"nilai ekspor impor indonesia turun bulan november";"Threat"
"1212";"temu wamen haji saudi patuh dorong rekam biometrik di bandara";"Threat"
"1219";"lindung merek lokal maksimal kasus sengketa asing";"Threat"
"1221";"ri cuma ampas kotor turis china";"Threat"
"1225";"reklamasi teluk jakarta bukti negara asai taipan";"Threat"
"1227";"bumn terlalu banyak utang proyek infrastruktur lebih";"Threat"
"1247";"impor bengkak jokowi tak perlu berkeluh-kesah ganti mendag";"Threat"
"1248";"luhut bahas ekonomi blue carbon konferensi ubah iklim polandia";"Threat"
"1250";"sektor jasa jadi raja tahun";"Threat"
"193";"mau sukses tiru sifat karakter orang kaya";"None"
"194";"meski murah sedikit masyarakat mau investasi reksadana";"None"
"198";"ajar investasi saham hingga properti lewat main";"None"
"201";"tata kelola gambut ri jadi rujuk dunia";"None"
"203";"pasok sayur mayur aman harga pasar stabil";"None"
"204";"guru honorer peluang punya hak tara pns";"None"
"206";"ekspor mebel tembus usd miliar industri furnitur dongkrak tumbuh ekonomi";"None"
"207";"lamar cpns lingkung istana wajib ikut skb";"None"
"212";"serah terima jabat dwi soetjipto resmi ngantor skk migas";"None"
"213";"pertamina aju turun harga bbm non subsidi";"None"
"215";"jadi kepala skk migas apa akan laku dwi soetjipto";"None"
"217";"blak-blakan bos mrt kereta masinis";"None"
"219";"dirut mrt kan siap jelang operasi maret";"None"
"221";"usaha migas italia komit aplikasi gross split";"None"
"222";"uang emisi - expired bi buka layan tukar sabtu minggu";"None"
"223";"bos mrt ungkap sulit bangun transportasi modern ri";"None"
"224";"uang emisi tidak guna ini alas";"None"
"227";"tan terima harga sistem kendali gratifikasi baik kpk";"None"
"228";"jelang akhir tahun sri mulyani lapor realisasi apbn presiden jokowi";"None"
"230";"natal tahun baru jumlah tumpang kereta api tingkat tembus juta";"None"
"231";"sri mulyani kucur rp triliun defisit bpjs sehat";"None"
"232";"antisipasi natal tahun baru kemenhub tambah jalan kereta";"None"
"235";"uni eropa larang cpo indonesia menko luhut polandia pekan depan";"None"
"236";"menkeu temu ganda jamin sehat capai juta jiwa";"None"
"238";"kerja apa gaji naik paling tinggi";"None"
"240";"menaker minta rekruitmen kerja bas kompetensi";"None"
"242";"revitalisasi sungai citarum menko luhut akan buat danau";"None"
"245";"sri mulyani lantik andin hadiyanto jadi staf ahli";"None"
"247";"segera resmi realisasi investasi kek galang batang rp triliun";"None"
"249";"ekspor anak ayam timor leste terus tingkat";"None"
"251";"intip jalan karir bos unilever paul polman";"None"
"252";"kenal mary barra bos wanita paling pengaruh dunia";"None"
"253";"mau daftar npwp online cek langkah sini";"None"
"254";"fakta uang rupiah tidak laku";"None"
"255";"harga telur ayam lonjak jadi rp kg";"None"
"256";"mahal harga daging ayam kini jual rp";"None"
"502";"tak milik simulator boeing max kata pilot lion air";"None"
"503";"tol bocimi jalan sukabumi jadi lebih singkat";"None"
"504";"pilot lion air ungkap ketat atur terbang pesawat";"None"
"506";"tarif tol bocimi kira rp per kilometer";"None"
"510";"pilot lion air sebut selamat terbang harga mati";"None"
"511";"jokowi heran proyek tol bocimi mangkrak hingga tahun";"None"
"513";"jk arab saudi minta bangun kilang minyak cilacap cepat";"None"
"514";"sempat mangkrak tahun jokowi resmi tol bocimi seksi";"None"
"515";"imf venezuela lapor inflasi persen";"None"
"518";"garuda buka rute terbang jakarta-london";"None"
"521";"hidup kerja imbang cek sini";"None"
"522";"per november kk sambung listrik gratis";"None"
"523";"bonus akhir tahun cair cara bijak kelola";"None"
"525";"baru keluarga korban jt terima uang santun lion air";"None"
"527";"sus enggak mau dengar usaha udang jual produk china thailand";"None"
"528";"temu ratu belanda sri mulyani beri resep bangun sektor informal";"None"
"529";"citilink buka rute terbang jakarta-samarinda";"None"
"530";"usaha punya waktu hari lapor aktivitas merger akuisisi kppu";"None"
"531";"perintah panjang iupk freeport";"None"
"532";"pertamina tunggu waktu tepat turun harga bbm non subsidi";"None"
"533";"kepala skk migas janji tak manja pertamina";"None"
"548";"akhir tahun pgn target dumai alir gas";"None"
"553";"jakarta masuk besar kota paling mahal barang mewah asia";"None"
"556";"menhub atur rute kendara besar panjang libur natal tahun baru";"None"
"558";"grup bank dunia himpun miliar dollar as aksi lawan ubah iklim -";"None"
"559";"tan optimis swasembada bawang putih";"None"
"563";"kemenhub angkut umum turun natal tahun baru";"None"
"564";"dana desa ribu pasar hingga salur urus irigasi bangun";"None"
"565";"perintah revisi tarif ekspor kelapa sawit";"None"
"566";"ramai e-payment dana usung by indonesian for indonesia";"None"
"569";"natal tahun baru lonjak tumpang ka prediksi jadi desember";"None"
"570";"ekonomi indonesia punya sempat tumbuh";"None"
"571";"tumpang pesawat prediksi capai juta natal tahun baru";"None"
"572";"libur natal tahun baru tumpang transportasi laut prediksi naik persen";"None"
"575";"jadi the best marketing mister tourism of asean arief yahya makin pede";"None"
"578";"hanwha life luncur asuransi dana waris premi rp";"None"
"580";"airasia jalin kerja sama mitra lokal vietnam";"None"
"581";"tan program serasi tingkat produktivitas tani sumsel";"None"
"583";"jonan harap dpr tuju rencana subsidi pasang listrik";"None"
"584";"btn genjot biaya rumah masyarakat hasil rendah";"None"
"585";"tak nyaman alami rombong sri mulyani ktt g argentina";"None"
"586";"maskapai minta tak naik tarif terbang terlalu tinggi natal tahun baru";"None"
"589";"menhub labuh kali adem segera benah";"None"
"590";"kuat sistem listrik jakarta banten pln investasi rp miliar";"None"
"591";"banyak pilot nganggur menhub kurang sekolah terbang";"None"
"592";"menhub tak mau campur kisruh lion air vs boeing";"None"
"593";"naik tipis premi industri asuransi jiwa rp triliun";"None"
"594";"menhub minta tak monopoli taksi bandara ahmad yani";"None"
"595";"kemenkeu minta konsorsium asuransi jamin barang milik negara";"None"
"596";"dukung bisnis btn gandeng start-up";"None"
"599";"bos go-jek masuk jajar bloomberg";"None"
"601";"jeli kelola migas rakyat sejahtera";"None"
"603";"total industri asuransi jiwa turun persen";"None"
"604";"aaji asuransi jiwa tetap butuh tenaga pasar";"None"
"605";"milenial belum peduli milik asuransi jiwa";"None"
"606";"bandara soekarno-hatta raih best airport of the year bandara awards";"None"
"608";"jual st- lampau target capai rp triliun";"None"
"609";"tak lapor soal akuisisi kospin jasa denda kppu rp miliar";"None"
"610";"soal korban serang papua kata bpjs ketenagakerjaan";"None"
"826";"perban indonesia siap terap lanjut standar basel iii";"None"
"827";"kanada minta as hapus tarif baja alumunium";"None"
"828";"btn akad kpr nasabah";"None"
"829";"as-meksiko-kanada teken nafta baru trump klaim menang";"None"
"830";"smf kuat peran kurang beban fiskal perintah";"None"
"831";"brexit inggris peluang hilang tumbuh pdb";"None"
"832";"turki harap hubung dagang tiongkok tingkat";"None"
"834";"fed tegas siap naik suku bunga";"None"
"835";"ekonomi inggris tekan akibat skenario brexit";"None"
"838";"harga minyak dunia jatuh";"None"
"839";"proyek keit bekapur nilai kurang beban labuh";"None"
"840";"emas jangka libas perkasa dolar as";"None"
"841";"kerja ekspor industri furnitur tembus usd miliar";"None"
"844";"selesai listrik ribu mw sesuai butuh";"None"
"845";"modalku-askrindo sinergi daya umkm";"None"
"846";"medco komitmen tahan produksi migas";"None"
"848";"dividen pajak bumn tuntut pacu ekonomi rakyat";"None"
"850";"jokowi juta kk sambung listrik";"None"
"851";"pln bidik ribu kk sambung listrik cara mandiri";"None"
"853";"hormat mendiang george hw bush pasar saham libur";"None"
"854";"jokowi sambung listrik gratis";"None"
"857";"kemenperin bakal promosi fesyen indonesia prancis";"None"
"858";"airnav indonesia bangun menara balikpapan";"None"
"859";"pertamina mor vi operasi spbu satu harga";"None"
"860";"pariwisata target jadi sumbang utama devisa indonesia";"None"
"862";"iupk freeport panjang";"None"
"863";"ojk likuiditas perban aman";"None"
"865";"blok masela proyek idd jadi fokus utama dwi soetjipto";"None"
"866";"mendag optimistis kerja ekspor baik neraca dagang";"None"
"867";"mandiri capital luncur venture fund";"None"
"868";"tekan impor temu cadang migas raksasa";"None"
"869";"investor pasar modal capai juta";"None"
"874";"harga pertamax cs bakal turun waktu tepat";"None"
"876";"dwi soetjipto minta tingkat cadang migas";"None"
"877";"inspirasi jokowi bos adaro lintas bikin kompor listrik";"None"
"878";"harga gabah kering tingkat tani naik";"None"
"879";"nilai tukar tani naik";"None"
"882";"temu g reda tegang perang dagang";"None"
"884";"jokowi tunjuk eks dirut pertamina jadi kepala skk migas";"None"
"885";"sri mulyani sindir anak usaha belum ipo";"None"
"886";"pesan bos imf negara anggota g";"None"
"889";"bahan makan sumbang inflasi";"None"
"890";"upaya perintah stabil harga butuh pokok kian solid";"None"
"892";"qatar potensi dongkrak harga bbm";"None"
"893";"bumn utang besar capai rp triliun";"None"
"896";"usaha tambang izin ekspor";"None"
"897";"ancora godok right issue cari dana";"None"
"901";"emiten anabatic optimistis tumbuh kuartal iv";"None"
"902";"peran penting jokowi hilir industri";"None"
"903";"menteri sofyan target sertifikasi lahan lampau";"None"
"904";"fintax fair bantu kembang kuat bisnis";"None"
"905";"energy equity setor rp triliun negara";"None"
"907";"luhut tegas tak ekspor bahan mentah";"None"
"908";"merosot laba pertamina cuma rp triliun hingga september";"None"
"910";"potensi ekonomi laut indonesia usd triliun";"None"
"911";"labuh kuala tanjung mulai diujicobakan";"None"
"912";"mental usaha batu bara perlu ubah";"None"
"913";"utang usaha bumn tembus rp triliun";"None"
"914";"satgas waspada investasi tindak koperasi bodong";"None"
"915";"pasar saham positif usai tunda tarif as-tiongkok";"None"
"916";"korsel hibah usd juta korban gempa sulsel";"None"
"918";"qatar siap hengkang opec";"None"
"919";"cerita sang rajin batik cirebon";"None"
"920";"pertamina-tppi ekspor perdana paraxylene tiongkok";"None"
"922";"apindo saran harga bbm naik tekan cad";"None"
"923";"anak usaha adhi genjot bisnis huni integrasi lrt";"None"
"926";"citibank suntik usd juta pelita samudera shipping";"None"
"927";"hilir industri perintah harus perhati sektor hulu";"None"
"930";"kembang harga komoditas pangan dua tahun akhir";"None"
"931";"kemenkeu cair dana talang bpjs sehat rp triliun";"None"
"932";"setor dividen pertamina tahun depan ciut";"None"
"933";"bakrie terus benah utang hingga tahun depan";"None"
"934";"pesawat boeing max lion air operasi";"None"
"936";"batal pesawat boeing jadi putus lion";"None"
"937";"laba pertamina taksir tak capai target";"None"
"941";"atur pungut ekspor cpo usd terbit";"None"
"942";"subsidi bbm-listrik klaim signifikan gerus apbn";"None"
"943";"eksplorasi giant discovery";"None"
"944";"bpjs sehat suntik dana tambah rp triliun";"None"
"946";"bakrie target pltu tanjung jati a operasi";"None"
"947";"proyeksi tumbuh ekonomi apindo bawah perintah";"None"
"949";"anggar angkat honorer tunggu kemenpan rb";"None"
"950";"apindo optimistis rupiah bawah rp ribu";"None"
"952";"respons sri mulyani soal kepala daerah korupsi gaji kecil";"None"
"953";"bjb raih harga kpk";"None"
"954";"bbm satu harga hadir nias";"None"
"956";"menkeu tak soal bumn banyak utang asal bayar";"None"
"957";"harga bbm prediksi tetap naik";"None"
"958";"btn siap ambil peran biaya rumah mbr";"None"
"959";"dorong manfaat zakat bangun lanjut";"None"
"960";"tekan ihsg arah bursa eksternal";"None"
"962";"akr turun harga bbm nonsubsidi rp liter";"None"
"968";"usaha tambang keluh efek b mesin";"None"
"970";"stok energi fosil indonesia mampu penuh butuh";"None"
"971";"perintah luncur kur khusus terna rakyat";"None"
"972";"resep menkeu keluar indonesia middle income trap";"None"
"973";"pgn sabet harga lhkpn kpk";"None"
"976";"sbn valas terbit hingga akhir tahun";"None"
"977";"terima pajak tahun taksir capai";"None"
"979";"kemenkeu rencana anggar dorong serap belanja";"None"
"984";"menkeu lantik andin hadiyanto jadi staf ahli";"None"
"985";"industri asuransi mulai sasar tani hingga sopir angkot";"None"
"986";"menteri bumn resmi kapal wisata komodo";"None"
"987";"antam tunjuk orori jadi reseller resmi";"None"
"989";"contoh selandia baru terap regulasi produk tembakau alternatif";"None"
"990";"premi asuransi jiwa capai rp triliun";"None"
"991";"chandra asri gelontor usd miliar bangun kompleks petrokimia";"None"
"992";"strategi perintah buat terima lampau target";"None"
"999";"cadang devisa november lonjak usd miliar";"None"
"1000";"unit usaha blue bird group ipo tahun depan";"None"
"1004";"mendag harap kualitas produk fesyen lokal sejajar brand global";"None"
"1005";"toko fesyen global turut tingkat kualitas produk lokal";"None"
"1007";"pt pii sabet asean risk awards";"None"
"1008";"bursa denda emiten rp juta";"None"
"1009";"optimalisasi aset negara jadi semangat sama";"None"
"1010";"bi minta siap instrumen tampung dana amnesti pajak";"None"
"1013";"temu opec akhir putus kurang produksi";"None"
"1014";"pabrik mobil listrik siap bangun karawang";"None"
"1015";"putus fed naik suku bunga nilai tepat";"None"
"1016";"opec rusia bahas mangkas produksi minyak";"None"
"1017";"imf desak negara dunia bangun multilateral baru";"None"
"1018";"bank sentral inggris siap ringan atur modal bank";"None"
"1019";"tuju gencat senjata trump nilai laku salah";"None"
"1020";"undang investor usaha yunani minta tingkat tata kelola";"None"
"1021";"tiongkok desak komunitas internasional proteksionisme";"None"
"1022";"cimb niaga syariah luncur produk umrah didik";"None"
"1023";"brexit hampir henti tumbuh sektor jasa inggris";"None"
"1024";"alas industri halal indonesia optimal";"None"
"1025";"tarif impor jadi perhati produsen as";"None"
"1026";"transformasi bni syariah digital banking";"None"
"1027";"awal desember data ihsg kapital pasar positif";"None"
"1033";"kemilau emas dunia hantam dolar as";"None"
"1034";"cimb niaga syariah buku laba pajak rp miliar";"None"
"1035";"akhir minggu liar dow jones anjlok poin";"None"
"1193";"freeport tagih rp miliar pakai hutan lindung izin";"None"
"1194";"tani tembakau ketar-ketir";"None"
"1195";"industri pulp kertas hantu isu dumping";"None"
"1196";"ap i sunti rp t bumn";"None"
"1198";"bijak pungut cukai buat ngerem sampah plastik";"None"
"1199";"huntara bangun menteri pupr mulai tempat";"None"
"1200";"menaker blk kemnaker tak kalah blk taiwan";"None"
"1201";"pln resmi integrasi data paja djp";"None"
"1202";"pgn klaim ikut prosedur proyek kalija i";"None"
"1203";"imbau wapres pmi banyak lapang kerja negeri sendiri";"None"
"1205";"sukabumi wapres jk serah kartu lindung bpjs-tk kerja migran";"None"
"1207";"jembatan darurat padang-bukittinggi lalu satu jalur";"None"
"1208";"tingkat konservasi lahan air menteri pupr tanam ribu pohon serentak provinsi";"None"
"1209";"menteri pupr selesai jumlah bangun infrastruktur aceh";"None"
"1210";"ekspor non migas indonesia turun";"None"
"1213";"bi cuma turis asing";"None"
"1214";"krakatau steel happy";"None"
"1215";"bumn raya natal bagi santun anak panti asuh sulawesi utara";"None"
"1216";"harga sawit turun drastis jokowi tanam jengkol petai hingga manggis";"None"
"1217";"kemenag waswas vfs tasheel repot calon jamaah umrah";"None"
"1218";"perintah perlu terap standar transparansi kelola ikan";"None"
"1220";"usaha batubara kelimpungan";"None"
"1222";"terang asuransi tugu sesat keluarga korban lion air jt";"None"
"1223";"bendung rotiklot mulai isi air";"None"
"1224";"tahun perintah indonesia dapat utang bilateral apa";"None"
"1226";"ubah kapasitas bagasi lion air wings air tunda hingga januari";"None"
"1228";"kini ribu rumah dogiyai bebas gelap ltshe";"None"
"1229";"usaha plat merah sedang susah alih energi baru";"None"
"1231";"bumn lebih baik bangun kerja sama ketimbang tumpuk utang";"None"
"1233";"menteri jonan listrik jateng diy aman natal";"None"
"1234";"jahat perintah rusak infrastruktur bandung pikir kali";"None"
"1235";"bpjph anggap tak realistis target rp triliun";"None"
"1236";"bos bi tak patah arang";"None"
"1237";"korban lion air gugat boeing juta dolar";"None"
"1238";"wapres dorong dana haji segera investasi";"None"
"1239";"tak jadi bubar kepala bp batam rangkap walikota";"None"
"1240";"kecewa jokowi bubar badan usaha batam";"None"
"1243";"menteri pupr terima medali emas simpul jaring geospasial";"None"
"1244";"minim perempuan terjun sektor maritim";"None"
"1245";"jokowi jangan mark up";"None"
"1246";"ap i genjot sektor pariwisata ntt";"None"
"1249";"menteri pupr raih harga ombudsman";"None"
"1251";"kunjung seoul bpjs ketenagakerjaan jamin lindung pmi";"None"
